Doctor_Name,specialization,avg_rate,clinic_location,Category,general_location,Unnamed: 0,latitude_exact,longitude_exact,latitude_general,longitude_general,latitude,longitude
Salim El-Shazly,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Hassan El-Kholy,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Mohamed Youssef,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Jamal El-Kassas,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Nader Fahmy,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Sami Samir,Pediatrician,4.758470894874023,El-Dokki,Others,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Ibrahim Shalaby,Pediatrician,4.758470894874023,El-Dokki,Others,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Khaled Ibrahim,Cardiologist,4.758470894874023,El-Dokki,Cardiovascular,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Jamal El-Kholy,Gynecologist,4.5,6th of October,Urinary and Reproductive,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Hassan Nasser,Pediatrician,4.758470894874023,Yousef Abbas,Others,Yousef Abbas,6.0,29.5804817,31.2877833,,,29.5804817,31.2877833
Walid El-Din,General Surgeon,4.5,"El-Maadi , Zahraa El Maadi Road Carefour",Musculoskeletal,"El-Maadi , Zahraa El Maadi Road Carefour",,,,,,,
Jamal El-Shennawy,Urologist,5.0,Nasr City,Urinary and Reproductive,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Noha El-Shennawy,Neurosurgeon,5.0,Nasr City,Neurological and Psychiatric,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Ali El-Masry,Gynecologist,5.0,"Shoubra El-Kheima , 15th may",Urinary and Reproductive,"Shoubra El-Kheima , 15th may",,,,,,,
Yasmin Nasser,General Surgeon,4.5,"Moharam Bek , moharam bek",Musculoskeletal,"Moharam Bek , moharam bek",,,,,,,
Dina El-Baz,Gynecologist,5.0,"El-Mohandessin , el Sudan Street",Urinary and Reproductive,"El-Mohandessin , el Sudan Street",,,,,,,
Mohamed El-Din,Urologist,4.758470894874023,El-Dokki,Urinary and Reproductive,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Mohamed Samir,Nephrologist,5.0,"Nasr City , Zaker Hussien Street-District 7",Urinary and Reproductive,"Nasr City , Zaker Hussien Street-District 7",,,,,,,
Ali El-Amin,Neurologist,4.758470894874023,El-Dokki,Neurological and Psychiatric,El-Dokki,5.0,30.0388955,31.2125563,30.0388955,31.2125563,30.0388955,31.2125563
Ibrahim Mostafa,Pediatrician,5.0,"Nasr City , Ibrahim Nawar parallel to Ahmed Fakhry - Sixth Region.",Others,"Nasr City , Ibrahim Nawar parallel to Ahmed Fakhry - Sixth Region.",,,,,,,
Ibrahim El-Shennawy,Physiotherapist,4.5,Shoubra El-Kheima,Musculoskeletal,Shoubra El-Kheima,13.0,30.0800186,31.245269,30.1210367,31.2521633,30.0800186,31.245269
Mariam El-Naggar,ENT Doctor,5.0,"El-Zagazig , al kwmya street","Eye, Ear and Nose","El-Zagazig , al kwmya street",,,,,,,
Yasmin El-Sherbiny,Ophthalmologist,5.0,Shoubra,"Eye, Ear and Nose",Shoubra,15.0,31.0295879,30.458754,31.0295879,30.458754,31.0295879,30.458754
Mohamed Hussein,Nephrologist,5.0,"New Cairo , beside new cairo court",Urinary and Reproductive,"New Cairo , beside new cairo court",,,,,,,
Reem El-Shazly,Internist,4.5,"El-Mansoura , sandob square",Others,"El-Mansoura , sandob square",,,,,,,
Mahmoud Mostafa,ENT Doctor,4.5,"El-Mokattam , Street 9","Eye, Ear and Nose","El-Mokattam , Street 9",,,,,,,
Rami Mansour,General Surgeon,4.5,"El-Sheikh Zayed , Mouez plaza-",Musculoskeletal,"El-Sheikh Zayed , Mouez plaza-",,,,,,,
Bassam Farouk,Internist,5.0,"Tanta , Elmoderya st",Others,"Tanta , Elmoderya st",,,,,,,
Hani El-Shennawy,Cardiothoracic Surgeon,4.758470894874023,"El-Giza , Morad street",Cardiovascular,"El-Giza , Morad street",,,,,,,
Firas El-Hadidy,Cardiologist,5.0,"Shoubra El-Kheima , 15 May, St.",Cardiovascular,"Shoubra El-Kheima , 15 May, St.",,,,,,,
Dina Abdallah,Internist,4.0,"El-Zaitoun , Seliem El Awal",Others,"El-Zaitoun , Seliem El Awal",,,,,,,
Ibrahim Youssef,Physiotherapist,5.0,El-Mansoura,Musculoskeletal,El-Mansoura,0.0,36.786091,9.9000163,36.786091,9.9000163,36.786091,9.9000163
Fatma El-Gendy,Dermatologist,4.5,El-Ibrahimia,Skin,El-Ibrahimia,1.0,28.4243751,30.7932891,28.4243751,30.7932891,28.4243751,30.7932891
Yasmin Salah,Orthopedist,4.5,6th of October,Musculoskeletal,6th of October,2.0,29.9723458,30.9409205,29.9723458,30.9409205,29.9723458,30.9409205
Nader Nasser,Gynecologist,4.758470894874023,El-Haram,Urinary and Reproductive,El-Haram,3.0,29.9942663,31.1604591,29.9942663,31.1604591,29.9942663,31.1604591
Ahmed Saeed,Dermatologist,5.0,Nasr City,Skin,Nasr City,4.0,30.0521177,31.3422045,30.0521177,31.3422045,30.0521177,31.3422045
Zein El-Naggar,ENT Doctor,4.5,Hadayek El-Ahram,"Eye, Ear and Nose",Hadayek El-Ahram,24.0,29.9699896,31.0973269,29.9699896,31.0973269,29.9699896,31.0973269
